name,num_asesinatos,num_torres,css_medio,VS_medio,LVLD15_medio,heal_medio,ccing_medio
torneos,12.2,6.1,216.0,50.4,-0.0,6128.3,18.5
WORLDS,13.1,5.8,209.6,48.7,-0.0,5770.8,18.7
Unicorns Of Love_WORLDS,13.9,5.6,195.8,43.5,-0.2,5796.4,19.3
Papara SuperMassive_WORLDS,13.5,4.2,195.9,40.7,0.1,5278.9,18.8
Legacy eSports_WORLDS,12.2,5.0,188.6,40.1,-0.1,5887.5,18.0
MAD Lions_WORLDS,11.7,4.9,210.8,48.1,-0.1,5224.4,20.3
Rainbow7_WORLDS,10.9,4.0,202.1,47.3,0.1,5615.9,17.4
LGD Gaming_WORLDS,13.8,7.4,227.8,55.6,0.0,6404.8,19.8
Team Liquid_WORLDS,14.6,6.7,205.5,46.5,0.3,4564.1,17.5
INTZ e-Sports_WORLDS,10.6,4.8,222.8,57.4,-0.4,8414.6,20.4
PSG Talon_WORLDS,12.0,5.0,195.8,43.1,-0.2,5952.9,18.4
V3 Esports_WORLDS,10.2,2.8,192.8,43.2,-0.2,4374.0,20.2
DAMWON Gaming_WORLDS,16.6,8.1,211.2,50.4,0.3,5118.2,20.6
Suning_WORLDS,15.0,7.2,233.4,60.0,0.0,7516.7,17.8
Top Esports_WORLDS,13.5,6.5,220.6,51.4,0.2,7153.5,20.6
G2 Esports_WORLDS,16.3,6.0,210.6,52.4,-0.1,6465.5,19.0
Gen.G eSports_WORLDS,13.1,6.6,207.6,51.3,-0.1,5942.3,17.2
Fnatic_WORLDS,11.9,5.6,201.7,41.5,-0.1,4688.5,17.3
JD Gaming_WORLDS,13.7,5.5,199.1,45.4,0.1,5014.2,15.8
DragonX_WORLDS,11.4,6.2,235.2,53.0,0.2,5931.3,17.9
FlyQuest_WORLDS,12.0,5.7,201.3,44.3,-0.1,4516.0,18.2
TSM_WORLDS,8.0,3.7,210.0,48.2,0.0,5782.3,19.0
Rogue_WORLDS,8.8,3.8,186.2,42.0,-0.1,3458.7,15.5
Machi E-Sports_WORLDS,9.0,2.7,205.7,45.8,-0.4,4219.0,18.5
LEC,12.7,6.3,214.1,50.1,0.0,6150.0,18.0
G2 Esports_LEC,17.3,7.7,205.9,50.7,0.1,6717.7,20.2
Fnatic_LEC,14.2,6.9,212.1,46.7,0.1,6421.7,20.3
Origen_LEC,12.1,6.5,222.7,56.4,0.1,6496.7,18.4
SK Gaming_LEC,9.7,4.9,214.1,47.3,-0.1,5925.0,15.5
Rogue_LEC,12.1,6.8,214.2,48.2,-0.0,6434.0,17.1
Excel Esports_LEC,9.9,5.8,216.1,53.0,-0.2,5500.6,16.4
Misfits Gaming_LEC,10.8,5.6,215.5,48.6,0.1,5651.3,16.0
FC Schalke 04_LEC,12.2,5.2,225.0,53.2,-0.1,6423.4,18.5
MAD Lions_LEC,13.9,6.7,200.1,45.8,-0.0,5964.2,18.4
Team Vitality_LEC,9.8,4.7,226.9,53.9,-0.1,5205.0,16.5
LCS,11.4,6.1,220.6,51.5,0.0,6264.6,18.8
Evil Geniuses_LCS,11.1,6.0,213.2,50.5,-0.1,6390.6,19.1
Golden Guardians_LCS,9.5,5.6,226.7,51.6,0.0,6069.3,17.5
100 Thieves_LCS,11.0,5.7,213.8,51.0,-0.1,6083.5,19.1
Dignitas_LCS,9.3,4.6,220.9,49.1,-0.1,5835.7,16.5
Team Liquid_LCS,11.4,6.9,236.3,54.7,0.1,6415.7,19.2
Immortals_LCS,8.1,5.1,221.6,56.6,-0.2,5866.6,19.9
CLG_LCS,9.9,4.1,220.8,47.8,-0.2,5929.1,17.8
FlyQuest_LCS,12.8,6.5,222.1,52.7,0.0,6309.5,18.9
Cloud9_LCS,15.6,8.0,203.9,46.3,0.3,6607.8,20.1
TSM_LCS,12.3,7.0,226.5,53.5,-0.0,6633.9,19.4
